contig	startCore	endCore
k127_4432298_M_bin.12	2952	3257
k127_36005664_S_bin.28	2	5989
k127_22947841_M_bin.12	4579	5649
k127_23750127_S_bin.28	3	2960
k127_24715934_M_bin.8	1	1983
k127_31104040_S_bin.80	200	4111
k127_3756117_S_bin.74	3	1413
k127_19293459_M_bin.100	1068	2186
k127_976675_S_bin.30	4451	5062
k127_15636555_S_bin.28	1	8908
k127_13090747_S_bin.56	334	1491
k127_27846790_S_bin.27	1744	9153
k127_27846790_S_bin.27	2	1747
k127_26075804_M_bin.109	159	1133
k127_12973009_M_bin.9	1195	2325
k127_34597133_S_bin.80	2	1663
k127_11996447_S_bin.61	5841	6503
k127_38657971_S_bin.28	2	10879
k127_26519342_S_bin.74	1	2703
k127_20633400_M_bin.77	5306	9258
k127_41722690_S_bin.30	5182	11447
k127_18528014_M_bin.9	27680	27928
k127_16171085_M_bin.52	15737	18006
k127_32152072_S_bin.8	7240	7991
k127_21852578_M_bin.21	17421	18197
k127_5328276_M_bin.47	2108	5605
k127_36017374_S_bin.71	1	3693
k127_8736639_M_bin.109	3	3308
k127_40450759_S_bin.80	1	2883
k127_13971914_M_bin.67	16186	17274
k127_23050205_M_bin.55	1061	2233
k127_25511270_M_bin.12	1	4031
k127_22004272_S_bin.80	4025	4339
k127_21190171_M_bin.47	9371	13432
k127_20179275_S_bin.74	2	3130
k127_27309771_M_bin.67	1750	2628
k127_7348137_S_bin.8	6578	10984
k127_1207888_M_bin.9	1771	5805
k127_25177547_M_bin.44	2	5748
k127_15825066_M_bin.111	4237	5118
k127_20803691_M_bin.1	3	710
k127_23855834_S_bin.36	7070	9112
k127_2035307_M_bin.8	33378	34022
k127_22107677_M_bin.60	21039	22169
k127_2529399_S_bin.80	3	197
k127_12767678_S_bin.61	1	31758
k127_23414692_S_bin.28	5728	12548
k127_40298990_S_bin.28	1	3063
k127_23590408_M_bin.22	28376	29479
k127_18215608_S_bin.28	1	951
k127_13931062_M_bin.55	967	2694
k127_3318235_M_bin.21	5396	7127
k127_6441253_S_bin.50	3449	4636
k127_10358142_S_bin.80	2	3325
k127_17241124_M_bin.52	2415	3299
k127_27656770_S_bin.50	8222	9325
k127_19061407_M_bin.21	901	4781
k127_26907242_M_bin.67	7306	8385
k127_6074367_M_bin.52	9820	14013
k127_22988056_M_bin.77	2	8979
k127_30872969_S_bin.28	3	11924
k127_15107147_M_bin.12	1519	2142
k127_16325172_M_bin.22	45722	54577
k127_9034355_M_bin.87	2440	5280
k127_22683450_M_bin.12	1314	3409
k127_24138381_M_bin.109	3499	4593
k127_14823593_S_bin.9	11001	12023
k127_14823593_S_bin.9	4915	6054
k127_18746891_S_bin.80	3	3410
k127_22609352_S_bin.28	1	3261
k127_27809232_S_bin.28	1	2670
k127_4549696_M_bin.66	5105	6601
k127_41087363_S_bin.80	1	3042
k127_12043189_M_bin.32	2196	4429
k127_38818695_S_bin.28	1	2637
k127_33113800_S_bin.27	3	3528
k127_37704742_S_bin.9	1103	2062
k127_17410199_M_bin.55	3	2279
k127_38076077_S_bin.61	3	6836
k127_38076077_S_bin.61	10383	10937
k127_23291978_M_bin.60	15246	16232
k127_19640673_S_bin.61	7495	9204
k127_9476787_M_bin.1	3	1094
k127_5770497_M_bin.111	2409	5969
k127_16599995_M_bin.87	10402	17583
k127_1622404_M_bin.47	8496	10757
k127_2858824_S_bin.117	1	3570
k127_12902857_S_bin.28	1	2259
k127_19272708_S_bin.117	937	2124
k127_1212483_S_bin.80	2	4216
k127_8817632_S_bin.28	5452	14055
k127_16643914_M_bin.44	1945	3039
k127_3915531_S_bin.28	34271	50039
k127_32199448_S_bin.28	2675	4459
k127_16298011_M_bin.44	33	5069
k127_21199368_M_bin.102	3	716
k127_11725973_M_bin.60	9795	11060
k127_3219214_M_bin.77	1	1446
k127_23327784_M_bin.8	2	1704
k127_16922097_S_bin.28	3	7211
k127_6575704_M_bin.21	6530	9204
k127_20047681_M_bin.102	3470	8225
k127_17007392_M_bin.44	5571	6467
k127_34975464_S_bin.28	11002	31607
k127_2536849_S_bin.56	2226	2501
k127_8984978_M_bin.66	4359	7223
k127_24759845_S_bin.74	179	3229
k127_11197027_S_bin.30	22352	26214
k127_493815_S_bin.56	644	1876
k127_2653727_S_bin.36	3	3098
k127_8511279_S_bin.80	1	3375
k127_1421512_M_bin.87	2	3862
k127_23333697_M_bin.12	2971	4104
k127_21500464_M_bin.105	1464	4841
k127_12927069_S_bin.28	2	11429
k127_14697671_M_bin.105	3260	4129
k127_23607641_M_bin.100	2723	3568
k127_3051831_M_bin.21	9410	17697
k127_2077595_M_bin.87	64	2061
