contig	start	end	gene_position
k127_11996447_S_bin.61	6588	7467	5
k127_11996447_S_bin.61	7463	8531	6
k127_11996447_S_bin.61	8707	9580	7
k127_11996447_S_bin.61	9673	9778	8
k127_11996447_S_bin.61	9777	10863	9
k127_11996447_S_bin.61	10859	11774	10
k127_11996447_S_bin.61	11767	12055	11
k127_11996447_S_bin.61	12059	12536	12
k127_11996447_S_bin.61	12526	12727	13
k127_11996447_S_bin.61	12872	13586	14
k127_11996447_S_bin.61	13608	14313	15
k127_11996447_S_bin.61	14617	14827	16
k127_11996447_S_bin.61	14799	16332	17
k127_11996447_S_bin.61	16356	17331	18
k127_11996447_S_bin.61	17311	18898	19
k127_11996447_S_bin.61	18913	19978	20
k127_11996447_S_bin.61	19974	20859	21
k127_11996447_S_bin.61	20869	21979	22
k127_11996447_S_bin.61	21992	23195	23
k127_11996447_S_bin.61	23185	24769	24
k127_11996447_S_bin.61	24765	25947	25
k127_11996447_S_bin.61	25974	27864	26
k127_11996447_S_bin.61	27909	29037	27
k127_11996447_S_bin.61	29047	30325	28
k127_11996447_S_bin.61	30354	31512	29
k127_11996447_S_bin.61	31504	32848	30
k127_11996447_S_bin.61	32817	33705	31
k127_12043189_M_bin.32	2	593	1
k127_12043189_M_bin.32	766	856	2
k127_12043189_M_bin.32	897	1797	3
k127_12043189_M_bin.32	2195	3278	4
k127_12043189_M_bin.32	3274	4429	5
k127_12043189_M_bin.32	4425	5133	6
k127_1207888_M_bin.9	0	1578	1
k127_1207888_M_bin.9	1770	5805	2
k127_1207888_M_bin.9	5895	6675	3
k127_1207888_M_bin.9	6812	7409	4
k127_1207888_M_bin.9	7486	8860	5
k127_1207888_M_bin.9	8940	9834	6
k127_1207888_M_bin.9	10137	10680	7
k127_1212483_S_bin.80	1	4216	1
k127_12281402_M_bin.44	2	137	1
k127_12281402_M_bin.44	164	452	2
k127_12281402_M_bin.44	448	1339	3
k127_12281402_M_bin.44	1335	2181	4
k127_12281402_M_bin.44	2180	3305	5
k127_12767678_S_bin.61	0	10791	1
k127_12767678_S_bin.61	10848	31758	2
k127_12767678_S_bin.61	31838	34313	3
k127_12767678_S_bin.61	34309	36031	4
k127_12767678_S_bin.61	36045	36417	5
k127_12767678_S_bin.61	36413	37724	6
k127_12767678_S_bin.61	37762	37903	7
k127_12902857_S_bin.28	0	2259	1
k127_12902857_S_bin.28	2423	3836	2
k127_12902857_S_bin.28	3917	4136	3
k127_12902857_S_bin.28	4413	5331	4
k127_12902857_S_bin.28	5331	5619	5
k127_12927069_S_bin.28	1	2065	1
k127_12927069_S_bin.28	2195	2600	2
k127_12927069_S_bin.28	2453	3665	3
k127_12927069_S_bin.28	3737	4670	4
k127_12927069_S_bin.28	4687	6532	5
k127_12927069_S_bin.28	6864	7926	6
k127_12927069_S_bin.28	8048	9707	7
k127_12927069_S_bin.28	9845	11429	8
k127_12936363_S_bin.29	0	684	1
k127_12936363_S_bin.29	835	1240	2
k127_12936363_S_bin.29	1309	2485	3
k127_12936363_S_bin.29	2588	3014	4
k127_12973009_M_bin.9	71	785	1
k127_12973009_M_bin.9	954	1107	2
k127_12973009_M_bin.9	1194	2325	3
k127_12973009_M_bin.9	2346	2460	4
k127_12973009_M_bin.9	2539	4426	5
k127_12973009_M_bin.9	4525	5146	6
k127_12973009_M_bin.9	5293	5890	7
k127_12973009_M_bin.9	6021	6876	8
k127_13070271_M_bin.111	0	1044	1
k127_13070271_M_bin.111	1091	1901	2
k127_13070271_M_bin.111	1919	2084	3
k127_13070271_M_bin.111	2080	3226	4
k127_13070271_M_bin.111	3206	4643	5
k127_13090747_S_bin.56	2	221	1
k127_13090747_S_bin.56	333	1491	2
k127_13090747_S_bin.56	1487	2678	3
k127_13273213_S_bin.29	2	1421	1
k127_13273213_S_bin.29	1661	2768	2
k127_13273213_S_bin.29	2764	3490	3
k127_13273213_S_bin.29	3494	4415	4
k127_13273213_S_bin.29	4660	5758	5
k127_13273213_S_bin.29	5873	7502	6
k127_13273213_S_bin.29	7498	8494	7
k127_13273213_S_bin.29	8568	8772	8
k127_13362487_M_bin.111	608	2435	2
k127_13362487_M_bin.111	2431	4489	3
k127_13362487_M_bin.111	4488	5439	4
k127_13362487_M_bin.111	5449	7075	5
k127_13362487_M_bin.111	7854	8184	6
k127_13362487_M_bin.111	8399	9440	7
k127_13362487_M_bin.111	9820	9988	8
k127_13362487_M_bin.111	10000	10633	9
k127_13362487_M_bin.111	10795	11527	10
k127_13362487_M_bin.111	11535	11838	11
k127_13362487_M_bin.111	11959	12247	12
k127_13362487_M_bin.111	12356	12614	13
k127_13362487_M_bin.111	12706	14068	14
k127_13362487_M_bin.111	14085	14310	15
k127_13562023_M_bin.47	99	654	1
k127_13562023_M_bin.47	907	2062	2
k127_13562023_M_bin.47	2142	2994	3
k127_13668998_M_bin.77	2	3425	1
k127_13668998_M_bin.77	3527	4277	2
k127_13668998_M_bin.77	4276	4513	3
k127_13668998_M_bin.77	4694	5240	4
k127_13668998_M_bin.77	5734	7003	5
k127_13668998_M_bin.77	7121	8075	6
k127_13668998_M_bin.77	8201	8816	7
k127_13931062_M_bin.55	2	917	1
k127_13931062_M_bin.55	966	2694	2
k127_13971914_M_bin.67	827	1586	2
k127_13971914_M_bin.67	1652	2306	3
k127_13971914_M_bin.67	2381	2888	4
k127_13971914_M_bin.67	3040	3322	5
k127_13971914_M_bin.67	3628	4228	6
k127_13971914_M_bin.67	4238	4733	7
k127_13971914_M_bin.67	5506	6181	8
k127_13971914_M_bin.67	6320	6638	9
k127_13971914_M_bin.67	6831	7899	10
k127_13971914_M_bin.67	7971	8652	11
k127_13971914_M_bin.67	8846	9785	12
k127_13971914_M_bin.67	10000	11089	13
k127_1421512_M_bin.87	1	3862	1
k127_14253723_S_bin.27	2	4940	1
k127_14253723_S_bin.27	5037	6633	2
k127_14253723_S_bin.27	6697	7204	3
k127_14253723_S_bin.27	7216	7765	4
k127_14531586_M_bin.66	0	114	1
k127_14531586_M_bin.66	94	1297	2
k127_14531586_M_bin.66	1293	2772	3
k127_14531586_M_bin.66	2768	3716	4
k127_14531586_M_bin.66	3952	4165	5
k127_14531586_M_bin.66	4364	4892	6
k127_14531586_M_bin.66	4913	5108	7
k127_14531586_M_bin.66	5456	6272	8
k127_14531586_M_bin.66	6253	7000	9
k127_14531586_M_bin.66	7127	8099	10
k127_14531586_M_bin.66	8234	9059	11
k127_14531586_M_bin.66	9061	10045	12
k127_14531586_M_bin.66	10059	10608	13
k127_14531586_M_bin.66	10604	10946	14
k127_14697671_M_bin.105	153	1047	1
k127_14697671_M_bin.105	1043	1358	2
k127_14697671_M_bin.105	1354	1705	3
k127_14697671_M_bin.105	1706	3263	4
k127_14697671_M_bin.105	3259	4129	5
k127_14697671_M_bin.105	4125	5193	6
k127_14697671_M_bin.105	5189	5741	7
k127_14697671_M_bin.105	5852	6284	8
k127_14697671_M_bin.105	6267	6933	9
k127_14697671_M_bin.105	6929	7850	10
k127_14697671_M_bin.105	7899	8388	11
k127_14697671_M_bin.105	8521	9034	12
k127_14823593_S_bin.9	2	101	1
k127_14823593_S_bin.9	304	3958	2
k127_14823593_S_bin.9	3998	4913	3
k127_14823593_S_bin.9	4914	6054	4
k127_14823593_S_bin.9	6054	6486	5
k127_14823593_S_bin.9	6535	6979	6
k127_14823593_S_bin.9	6983	7388	7
k127_14823593_S_bin.9	7518	8514	8
k127_14823593_S_bin.9	8516	9272	9
k127_14823593_S_bin.9	9288	10527	10
k127_14823593_S_bin.9	10575	11004	11
k127_14823593_S_bin.9	11000	12023	12
k127_14916321_M_bin.12	29	242	1
k127_14916321_M_bin.12	415	943	2
k127_14916321_M_bin.12	1081	1999	3
k127_14916321_M_bin.12	2064	3774	4
k127_14916321_M_bin.12	4070	4994	5
k127_14916321_M_bin.12	5096	6503	6
k127_14916321_M_bin.12	6930	7812	7
k127_14916321_M_bin.12	7808	7898	8
k127_14933298_S_bin.80	181	580	1
k127_14933298_S_bin.80	623	2465	2
k127_14933298_S_bin.80	2942	3671	3
k127_1493337_M_bin.8	0	7032	1
k127_1493337_M_bin.8	7352	8681	2
k127_14984850_M_bin.111	2	1004	1
k127_14984850_M_bin.111	1331	1634	2
k127_14984850_M_bin.111	1654	2140	3
k127_14984850_M_bin.111	2136	3267	4
k127_14984850_M_bin.111	3297	3972	5
k127_15064906_S_bin.27	2	383	1
k127_15064906_S_bin.27	1182	1377	2
k127_15064906_S_bin.27	1506	2415	3
k127_15064906_S_bin.27	2438	3368	4
k127_15064906_S_bin.27	3441	4299	5
k127_15064906_S_bin.27	4360	5392	6
k127_15064906_S_bin.27	5388	5949	7
k127_15064906_S_bin.27	5999	6512	8
k127_15064906_S_bin.27	6511	6814	9
k127_15064906_S_bin.27	6848	7535	10
k127_15064906_S_bin.27	7564	9892	11
k127_15064906_S_bin.27	10241	11606	12
k127_15064906_S_bin.27	11706	12927	13
k127_15064906_S_bin.27	12923	13742	14
k127_15064906_S_bin.27	13738	15430	15
k127_15064906_S_bin.27	15492	16215	16
k127_15064906_S_bin.27	16231	17425	17
k127_15064906_S_bin.27	17439	17952	18
k127_15107147_M_bin.12	0	267	1
k127_15107147_M_bin.12	701	1433	2
k127_15107147_M_bin.12	1518	2142	3
k127_15107147_M_bin.12	2264	2456	4
k127_15107147_M_bin.12	2582	2978	5
k127_15107147_M_bin.12	3199	3478	6
k127_15107147_M_bin.12	4191	4446	7
k127_15165676_S_bin.9	0	990	1
k127_15165676_S_bin.9	1053	1785	2
k127_15165676_S_bin.9	1883	3104	3
k127_15165676_S_bin.9	3108	3360	4
k127_15165676_S_bin.9	3540	4425	5
k127_15165676_S_bin.9	4627	6163	6
k127_15165676_S_bin.9	6155	7868	7
k127_15572293_M_bin.102	0	87	1
k127_15572293_M_bin.102	83	881	2
k127_15572293_M_bin.102	894	1233	3
k127_15572293_M_bin.102	1251	1533	4
k127_15572293_M_bin.102	1745	1952	5
k127_15572293_M_bin.102	2079	3690	6
k127_15572293_M_bin.102	3686	4391	7
k127_15572293_M_bin.102	4575	4665	8
k127_15572293_M_bin.102	4710	5610	9
k127_15572293_M_bin.102	5813	6896	10
k127_15572293_M_bin.102	6892	8050	11
k127_15572293_M_bin.102	8046	8757	12
k127_15572293_M_bin.102	8737	9109	13
k127_15583247_M_bin.32	2	5687	1
k127_15583247_M_bin.32	5689	5929	2
k127_15636555_S_bin.28	0	4941	1
k127_15636555_S_bin.28	5368	8908	2
k127_15825066_M_bin.111	2	1199	1
k127_15825066_M_bin.111	1480	2404	2
k127_15825066_M_bin.111	2458	3916	3
k127_15825066_M_bin.111	4236	5118	4
k127_15825066_M_bin.111	5114	5501	5
k127_15825066_M_bin.111	5504	6470	6
k127_15825066_M_bin.111	6531	6813	7
k127_15852510_S_bin.28	0	2742	1
k127_16078466_M_bin.77	2	1334	1
k127_16078466_M_bin.77	1381	2557	2
k127_16078466_M_bin.77	2556	2850	3
k127_16078466_M_bin.77	2846	3587	4
k127_16078466_M_bin.77	3615	4578	5
k127_16078466_M_bin.77	4883	5897	6
k127_16078466_M_bin.77	5893	7264	7
k127_16078466_M_bin.77	7260	7890	8
k127_16078466_M_bin.77	8085	9513	9
k127_16078466_M_bin.77	9648	10650	10
k127_16078466_M_bin.77	10646	11516	11
k127_16078466_M_bin.77	11984	12437	12
k127_16078466_M_bin.77	12488	13373	13
k127_16081867_M_bin.32	104	4193	1
k127_16081867_M_bin.32	4387	4984	2
k127_16081867_M_bin.32	5085	5721	3
k127_16171085_M_bin.52	1386	2457	4
k127_16171085_M_bin.52	2450	4079	5
k127_16171085_M_bin.52	4161	5109	6
k127_16171085_M_bin.52	5112	5907	7
k127_16171085_M_bin.52	6009	6216	8
k127_16171085_M_bin.52	6268	7915	9
k127_16171085_M_bin.52	7911	8616	10
k127_16171085_M_bin.52	8989	9889	11
k127_16171085_M_bin.52	10000	11128	12
k127_16171085_M_bin.52	11124	12270	13
k127_16171085_M_bin.52	12266	12983	14
k127_16171085_M_bin.52	12963	13326	15
k127_16171085_M_bin.52	13405	14251	16
k127_16171085_M_bin.52	14247	14622	17
k127_16171085_M_bin.52	14618	15089	18
k127_16171085_M_bin.52	15282	15516	19
k127_1622404_M_bin.47	727	943	1
k127_1622404_M_bin.47	2020	2182	2
k127_1622404_M_bin.47	2783	2918	3
k127_1622404_M_bin.47	3707	4886	4
k127_1622404_M_bin.47	5000	7262	5
k127_1622404_M_bin.47	7258	8725	6
k127_1622404_M_bin.47	8800	9133	7
k127_1622404_M_bin.47	9216	10578	8
k127_16298011_M_bin.44	32	5069	1
k127_16325172_M_bin.22	14555	18191	1
k127_16325172_M_bin.22	18444	19908	2
k127_16325172_M_bin.22	20000	28856	3
k127_16325172_M_bin.22	29022	29376	4
k127_16325172_M_bin.22	29394	29709	5
k127_16325172_M_bin.22	29763	30393	6
k127_16325172_M_bin.22	30427	31189	7
k127_16325172_M_bin.22	31439	31805	8
k127_16325172_M_bin.22	31981	35686	9
k127_16325172_M_bin.22	35734	37369	10
k127_16325172_M_bin.22	37365	39339	11
k127_16325172_M_bin.22	39342	39882	12
k127_16325172_M_bin.22	39878	40892	13
k127_16325172_M_bin.22	41036	41606	14
k127_16599995_M_bin.87	0	222	1
k127_16599995_M_bin.87	337	685	2
k127_16599995_M_bin.87	1021	2608	3
k127_16599995_M_bin.87	2601	4836	4
k127_16599995_M_bin.87	4871	5006	5
k127_16599995_M_bin.87	5024	5867	6
k127_16599995_M_bin.87	5895	6708	7
k127_16599995_M_bin.87	6704	6851	8
k127_16599995_M_bin.87	6850	7513	9
k127_16599995_M_bin.87	7512	9138	10
k127_16599995_M_bin.87	9134	10328	11
k127_16599995_M_bin.87	10401	17583	12
k127_16599995_M_bin.87	17656	17884	13
k127_16599995_M_bin.87	17880	18171	14
k127_16599995_M_bin.87	18327	20268	15
k127_16599995_M_bin.87	20264	21476	16
k127_16599995_M_bin.87	21481	22708	17
k127_16599995_M_bin.87	22985	23246	18
k127_16643914_M_bin.44	0	72	1
k127_16643914_M_bin.44	179	893	2
k127_16643914_M_bin.44	1082	1613	3
k127_16643914_M_bin.44	1804	1948	4
k127_16643914_M_bin.44	1944	3039	5
k127_16918129_M_bin.9	1	3001	1
k127_16922097_S_bin.28	2	7211	1
k127_17007392_M_bin.44	2	854	1
k127_17007392_M_bin.44	1074	3222	2
k127_17007392_M_bin.44	3372	3792	3
k127_17007392_M_bin.44	3797	5477	4
k127_17007392_M_bin.44	5570	6467	5
k127_17007392_M_bin.44	6569	6839	6
k127_17241124_M_bin.52	1	889	1
k127_17241124_M_bin.52	888	1653	2
k127_17241124_M_bin.52	1649	2303	3
k127_17241124_M_bin.52	2414	3299	4
k127_17241124_M_bin.52	3298	3691	5
k127_17241124_M_bin.52	3703	4645	6
k127_17241124_M_bin.52	4881	6486	7
k127_17241124_M_bin.52	6581	6917	8
k127_17241124_M_bin.52	7140	7644	9
k127_17241124_M_bin.52	8042	8978	10
k127_17241124_M_bin.52	9358	10657	11
k127_17241124_M_bin.52	10723	11059	12
k127_17241124_M_bin.52	11135	11993	13
k127_17241124_M_bin.52	12194	13061	14
k127_17410199_M_bin.55	2	2279	1
k127_17410199_M_bin.55	2310	3273	2
k127_17410199_M_bin.55	3269	4037	3
k127_17410199_M_bin.55	4119	5604	4
k127_17410199_M_bin.55	5880	6753	5
k127_17687533_S_bin.30	0	69	1
k127_17687533_S_bin.30	726	2280	2
k127_17687533_S_bin.30	2290	3583	3
k127_17687533_S_bin.30	3584	5936	4
k127_17687533_S_bin.30	6013	7249	5
k127_17687533_S_bin.30	7286	9404	6
k127_17687533_S_bin.30	9712	10411	7
k127_17718735_S_bin.61	418	3523	8
k127_17718735_S_bin.61	3519	5121	9
k127_17718735_S_bin.61	5217	6027	10
k127_17718735_S_bin.61	6118	6508	11
k127_17912597_M_bin.8	0	762	1
k127_17912597_M_bin.8	761	1784	2
k127_17912597_M_bin.8	1780	3370	3
k127_17912597_M_bin.8	3366	4233	4
k127_17912597_M_bin.8	4229	5465	5
k127_17912597_M_bin.8	5482	6241	6
k127_17912597_M_bin.8	6227	6887	7
k127_17912597_M_bin.8	6897	8070	8
k127_17912597_M_bin.8	8088	9363	9
k127_17912597_M_bin.8	9353	10718	10
k127_17912597_M_bin.8	10801	11140	11
k127_17912597_M_bin.8	11157	11769	12
k127_17912597_M_bin.8	11765	12818	13
k127_17912597_M_bin.8	12868	14485	14
k127_17912597_M_bin.8	14705	14882	15
k127_17912597_M_bin.8	15073	15754	16
k127_17912597_M_bin.8	15767	17123	17
k127_17912597_M_bin.8	17441	18545	18
k127_17912597_M_bin.8	18596	19247	19
k127_17912597_M_bin.8	19243	20041	20
k127_17912597_M_bin.8	20173	21736	21
k127_17912597_M_bin.8	21739	22741	22
k127_17912597_M_bin.8	22785	23778	23
k127_17912597_M_bin.8	23888	24773	24
k127_17912597_M_bin.8	24842	26636	25
k127_17912597_M_bin.8	27345	28563	26
k127_17912597_M_bin.8	28691	28904	27
k127_17912597_M_bin.8	29056	29392	28
k127_17912597_M_bin.8	29440	29812	29
k127_17912597_M_bin.8	30172	30658	30
k127_18215608_S_bin.28	0	951	1
k127_18215608_S_bin.28	947	2612	2
k127_18528014_M_bin.9	2129	2339	3
k127_18528014_M_bin.9	2399	6929	4
k127_18528014_M_bin.9	7238	7736	5
k127_18528014_M_bin.9	7807	8557	6
k127_18528014_M_bin.9	8553	9675	7
k127_18528014_M_bin.9	10000	10249	8
k127_18528014_M_bin.9	10248	11364	9
k127_18528014_M_bin.9	11342	11864	10
k127_18528014_M_bin.9	11856	12792	11
k127_18746891_S_bin.80	2	3410	1
k127_18884052_S_bin.30	910	1135	2
k127_18884052_S_bin.30	1354	1621	3
k127_18884052_S_bin.30	2104	3412	4
k127_18884052_S_bin.30	3442	4600	5
k127_18884052_S_bin.30	4625	4874	6
k127_18884052_S_bin.30	5226	5505	7
k127_18884052_S_bin.30	5508	6042	8
k127_18884052_S_bin.30	6110	6356	9
k127_18884052_S_bin.30	6580	7717	10
k127_18884052_S_bin.30	7716	7857	11
k127_18884052_S_bin.30	7877	8585	12
k127_18884052_S_bin.30	8970	9072	13
k127_18884052_S_bin.30	9250	9406	14
k127_18884052_S_bin.30	9702	9801	15
k127_18884052_S_bin.30	9843	10029	16
k127_18884052_S_bin.30	10000	10510	17
k127_18884052_S_bin.30	10594	10819	18
k127_18884052_S_bin.30	10966	12547	19
k127_18884052_S_bin.30	12569	14945	20
k127_18913463_M_bin.100	2	2960	1
k127_18913463_M_bin.100	3083	5639	2
k127_18913463_M_bin.100	5830	7114	3
k127_18913463_M_bin.100	7118	7451	4
k127_19061407_M_bin.21	2	908	1
k127_19061407_M_bin.21	900	2226	2
k127_19061407_M_bin.21	2222	3662	3
k127_19061407_M_bin.21	3725	4781	4
k127_19061407_M_bin.21	5123	5246	5
k127_19167585_S_bin.28	1	352	1
k127_19167585_S_bin.28	348	3795	2
k127_19167585_S_bin.28	3827	4307	3
k127_19272708_S_bin.117	1	940	1
k127_19272708_S_bin.117	936	2124	2
k127_19272708_S_bin.117	2200	2740	3
k127_19272708_S_bin.117	2844	3483	4
k127_19290934_M_bin.100	1	181	1
k127_19290934_M_bin.100	357	1551	2
k127_19290934_M_bin.100	1510	2221	3
k127_19293459_M_bin.100	71	950	1
k127_19293459_M_bin.100	1067	2186	2
k127_19293459_M_bin.100	2441	2996	3
k127_19547487_M_bin.21	0	1011	1
k127_19547487_M_bin.21	1007	2309	2
k127_19547487_M_bin.21	2305	3388	3
k127_19547487_M_bin.21	3384	3507	4
k127_19547487_M_bin.21	3503	5117	5
k127_19547487_M_bin.21	5113	6160	6
k127_19547487_M_bin.21	6156	7002	7
k127_19547487_M_bin.21	7075	8305	8
k127_19547487_M_bin.21	8500	9682	9
k127_19547487_M_bin.21	9854	10778	10
k127_19547487_M_bin.21	10816	11782	11
k127_19547487_M_bin.21	12138	12969	12
k127_19547487_M_bin.21	13100	13835	13
k127_19547487_M_bin.21	14030	15644	14
k127_19547487_M_bin.21	15769	16399	15
k127_19547487_M_bin.21	16484	18050	16
k127_19547487_M_bin.21	18057	19023	17
k127_19547487_M_bin.21	19042	19279	18
k127_19640673_S_bin.61	297	684	1
k127_19640673_S_bin.61	1124	2528	2
k127_19640673_S_bin.61	2615	4013	3
k127_19640673_S_bin.61	4260	4473	4
k127_19640673_S_bin.61	4636	4927	5
k127_19640673_S_bin.61	5000	6710	6
k127_19913960_M_bin.66	1	772	1
k127_19913960_M_bin.66	871	3391	2
k127_19913960_M_bin.66	3387	3465	3
k127_20047681_M_bin.102	2	332	1
k127_20047681_M_bin.102	388	910	2
k127_20047681_M_bin.102	970	1249	3
k127_20047681_M_bin.102	1296	2139	4
k127_20047681_M_bin.102	2135	3473	5
k127_20047681_M_bin.102	3469	6460	6
k127_20047681_M_bin.102	6443	8225	7
k127_20047681_M_bin.102	8599	10183	8
k127_20047681_M_bin.102	10279	12865	9
k127_20179275_S_bin.74	1	3130	1
k127_20219686_M_bin.87	2	119	1
k127_20219686_M_bin.87	203	410	2
k127_20219686_M_bin.87	456	2091	3
k127_20219686_M_bin.87	2087	2792	4
k127_20219686_M_bin.87	3014	3104	5
k127_20219686_M_bin.87	3138	4038	6
k127_20219686_M_bin.87	4218	5304	7
k127_20219686_M_bin.87	5300	6446	8
k127_20219686_M_bin.87	6442	7153	9
k127_20219686_M_bin.87	7133	7496	10
k127_20219686_M_bin.87	7584	7701	11
k127_2035307_M_bin.8	553	1741	1
k127_2035307_M_bin.8	2014	5314	2
k127_2035307_M_bin.8	5310	7869	3
k127_2035307_M_bin.8	7865	8774	4
k127_2035307_M_bin.8	8786	9281	5
k127_2035307_M_bin.8	9333	9546	6
k127_2035307_M_bin.8	9744	9939	7
k127_2035307_M_bin.8	10000	10645	8
k127_2035307_M_bin.8	10629	10776	9
k127_2035307_M_bin.8	10832	11564	10
k127_2035307_M_bin.8	12070	12889	11
k127_2035307_M_bin.8	13016	13268	12
k127_2035307_M_bin.8	13373	13751	13
k127_2035307_M_bin.8	13883	14579	14
k127_2035307_M_bin.8	14608	15673	15
k127_2035307_M_bin.8	15669	16122	16
k127_2035307_M_bin.8	16118	18002	17
k127_2035307_M_bin.8	18222	18375	18
k127_2035307_M_bin.8	18368	18611	19
k127_2035307_M_bin.8	18782	19028	20
k127_2035307_M_bin.8	19212	20283	21
k127_20633400_M_bin.77	63	582	1
k127_20633400_M_bin.77	603	2052	2
k127_20633400_M_bin.77	2154	2562	3
k127_20633400_M_bin.77	2654	3935	4
k127_20633400_M_bin.77	3977	5303	5
k127_20633400_M_bin.77	5305	6199	6
k127_20633400_M_bin.77	6313	7156	7
k127_20633400_M_bin.77	7148	8351	8
k127_20633400_M_bin.77	8373	9258	9
k127_20633400_M_bin.77	9493	10594	10
k127_20633400_M_bin.77	10603	13840	11
k127_20633400_M_bin.77	14080	15394	12
k127_20633400_M_bin.77	15556	16135	13
k127_20633400_M_bin.77	16236	17502	14
k127_20736030_M_bin.32	1	1408	1
k127_20736030_M_bin.32	1516	2458	2
k127_20736030_M_bin.32	2465	2861	3
k127_20736030_M_bin.32	2871	3753	4
k127_20736030_M_bin.32	3898	5263	5
k127_2077595_M_bin.87	63	2061	1
k127_2077595_M_bin.87	2233	2674	2
k127_20803691_M_bin.1	2	710	1
k127_20803691_M_bin.1	706	1777	2
k127_20803691_M_bin.1	1795	2368	3
k127_20803691_M_bin.1	2486	2723	4
k127_21190171_M_bin.47	2	1328	1
k127_21190171_M_bin.47	1640	2552	2
k127_21190171_M_bin.47	2800	3289	3
k127_21190171_M_bin.47	3363	3957	4
k127_21190171_M_bin.47	3993	4212	5
k127_21190171_M_bin.47	4358	7814	6
