plantbin	annotation	completeness	contamination
M64	 'o__Pseudomonadales'	97.42424242	2.092762036
M60	 'o__Actinomycetales'	95.95375723	4.816955684
M67	 'o__Actinomycetales'	95.39651566	4.138608305
M21	 'o__Burkholderiales'	93.67246307	1.557632399
M105	 'o__Actinomycetales'	89.74823998	2.861952862
M8	 'o__Rhizobiales'	87.94469898	5.679205852
M52	 'o__Rhizobiales'	87.39610964	4.773330118
M4	 'o__Burkholderiales'	87.03453222	25.21493304
M20	 'o__Rhizobiales'	85.28052407	27.81930713
M47	 'o__Cytophagales'	81.59043442	2.529761905
M80	 'k__Bacteria'	79.40438871	54.12748171
M74	 'o__Rhizobiales'	76.21634113	92.16039707
M12	 'o__Rhizobiales'	73.5397744	2.351097179
M22	 'c__Deltaproteobacteria'	73.11827957	2.603686636
M50	 'k__Bacteria'	72.4137931	15.28213166
M29	 'k__Bacteria'	71.71368861	58.54231975
M35	 'o__Rickettsiales'	70.07680994	2.922590837
M66	 'o__Burkholderiales'	69.68035131	3.108722316
M55	 'o__Sphingomonadales'	68.02043436	3.664639917
M32	 'o__Rhizobiales'	67.5198939	3.641722262
M17	 'o__Rickettsiales'	67.27703576	1.342812006
M9	 'k__Bacteria'	65	0
M102	 'k__Bacteria'	63.67816092	7.75862069
M23	 'o__Sphingomonadales'	63.45384032	12.8970883
M100	 'o__Cytophagales'	63.26963241	2.678571429
M109	 'o__Sphingomonadales'	62.8667479	7.01456009
M1	 'o__Actinomycetales'	62.48554913	3.930635838
M86	 'o__Actinomycetales'	59.32424993	1.926782274
M87	 'k__Bacteria'	59.01116427	2.711323764
M99	 'o__Actinomycetales'	56.17443869	4.887737478
M94	 'o__Burkholderiales'	55.36615008	0.229545827
M111	 'k__Bacteria'	50.88819227	3.448275862
M44	 'k__Bacteria'	50.1754386	2.631578947
M30	 'k__Bacteria'	49.70760234	2.631578947
M90	 'o__Rhizobiales'	48.02882941	5.729041074
M61	 'k__Bacteria'	47.55485893	0.862068966
M24	 'k__Bacteria'	47.4137931	6.034482759
M93	 'k__Bacteria'	46.55172414	1.724137931
M56	 'k__Bacteria'	44.20062696	54.78578892
M62	 'k__Bacteria'	41.55172414	1.724137931
M49	 'k__Bacteria'	41.22807018	3.50877193
M78	 'k__Bacteria'	41.20689655	3.448275862
M84	 'k__Bacteria'	39.65517241	2.586206897
M6	 'k__Archaea'	39.36017254	55.55954948
M25	 'k__Bacteria'	39.28229665	2.456140351
M54	 'k__Bacteria'	38.14524556	5.172413793
M57	 'f__Rhizobiaceae'	34.54152575	0.998116761
M59	 'k__Bacteria'	33.44827586	1.724137931
M2	 'o__Rhizobiales'	33.12017508	0
M27	 'k__Bacteria'	31.03448276	0
M7	 'k__Bacteria'	29.61337513	6.347962382
M89	 'p__Bacteroidetes'	27.34715577	0
M18	 'k__Bacteria'	26.80250784	2.586206897
M5	 'k__Archaea'	25.676971	11.68224299
M10	 'k__Bacteria'	25.43859649	0
M98	 'k__Archaea'	24.96405464	4.205607477
M41	 'k__Bacteria'	20.68965517	1.724137931
M79	 'k__Bacteria'	18.44827586	0.626959248
M43	 'k__Archaea'	16.9242751	1.006470165
M51	 'k__Bacteria'	16.66666667	0
M65	 'o__Rhizobiales'	15.85349462	0.60483871
M76	 'k__Bacteria'	15.68965517	0
M81	 'k__Bacteria'	14.9122807	1.754385965
M28	 'k__Archaea'	13.85094656	1.401869159
M110	 'o__Actinomycetales'	11.49395509	0
M11	 'k__Bacteria'	10.65830721	0.862068966
M42	 'k__Bacteria'	10.10971787	0
M34	 'k__Bacteria'	8.620689655	0
M36	 'k__Bacteria'	8.620689655	0
M108	 'root'	8.333333333	0
M95	 'k__Bacteria'	7.680250784	0
M53	 'k__Bacteria'	7.01754386	0
M101	 'k__Bacteria'	5.172413793	0
M58	 'k__Bacteria'	4.263322884	0
M45	 'root'	4.166666667	0
M69	 'root'	4.166666667	0
M70	 'root'	4.166666667	0
M91	 'k__Bacteria'	2.351097179	7.836990596
M85	 'k__Archaea'	0.790797987	0.071890726
M3	 'root'	0	0
M13	 'root'	0	0
M14	 'root'	0	0
M15	 'root'	0	0
M16	 'root'	0	0
M19	 'root'	0	0
M26	 'root'	0	0
M31	 'root'	0	0
M33	 'root'	0	0
M37	 'root'	0	0
M38	 'root'	0	0
M39	 'root'	0	0
M40	 'root'	0	0
M46	 'root'	0	0
M48	 'root'	0	0
M63	 'root'	0	0
M68	 'root'	0	0
M71	 'root'	0	0
M72	 'root'	0	0
M73	 'root'	0	0
M75	 'root'	0	0
M82	 'root'	0	0
M83	 'root'	0	0
M88	 'root'	0	0
M92	 'root'	0	0
M96	 'root'	0	0
M97	 'root'	0	0
M103	 'root'	0	0
M104	 'root'	0	0
M106	 'root'	0	0
M107	 'root'	0	0
