	Plant	Location	Year	State	Year-State	Internal Name	Proposal ID	Principal Investigator 	Final Deliverable Project ID	Final Deliverable Project Name	Final Deliverable Product Name	Final Deliverable Status	Sequencing Project ID	Sequencing Project Name	Planned Sequencing Product	Actual Sequencing Product	Sequencing Project Status _	SP Visibility	Project Visible?	Portal Visible?	Bioproject ID	Biosample ID	NCBI SRA Accession ID	Sample Isolation Method	Sample Isolated From	Sample Collection Site / Growth Conditions	Sample ID	Sample Name	Sample Tube/Plate Label	Sample QC Type	Sample QC Status	Library Creation Specs	Actual Library Creation Queue	SOW Item ID	SOW Item Status	Current Material Location	Library QC Status	Library Name 	RQC Seq Unit Name	RQC Seq Unit State
X7272.1.65788.CTTGTA.fastq.gz.sam.bam.sorted.bed.bed2.counts	Miscanthus	KBS	2012	MI	2012-MI	TG	1296	"Tiedje, James"	1018622	KBS Miscanthus M7 with PhiX	Metagenome Annotated Standard Draft	Complete	1018623	KBS Miscanthus M7 with PhiX	Metagenome Standard Draft	Metagenome Standard Draft	Complete	DataAvailable	Visible	Visible	PRJNA366179	SAMN06268412	SRP099291	PowerSoil¨ DNA Isolation Kit (MOBIO) and DNA Clean & Concentrator (Zymo)	Rhizosphere Soil	Field cultivated with Miscanthus	33988	M7	M7			"Illumina Regular Fragment, 270bp"	"Illumina Regular Fragment, 300bp, Tubes"	33254	Complete	RQC: Complete	Passed	PTNB	7272.1.65788.CTTGTA.srf	usable
X7304.5.67064.GTAGAG.fastq.gz.sam.bam.sorted.bed.bed2.counts	Miscanthus	KBS	2012	MI	2012-MI	TG	1296	"Tiedje, James"	1023784	KBS Miscanthus M1	Metagenome Annotated Standard Draft	Complete	1023785	KBS Miscanthus M1	Metagenome Standard Draft	Metagenome Standard Draft	Complete	DataAvailable	Visible	Visible	PRJNA366147	SAMN06268380	SRP099366	PowerSoil¨ DNA Isolation Kit (MOBIO) and DNA Clean & Concentrator (Zymo)	Rhizosphere Soil	Field cultivated with Miscanthus	45269	M1	M1	Quantity	Pass	"Illumina Regular Fragment, 270bp"	"Illumina Regular Fragment, 300bp, Tubes"	45148	Complete	RQC: Complete	Passed	OYCU	7304.5.67064.GTAGAG.srf	usable
X7304.6.67058.GTCCGC.fastq.gz.sam.bam.sorted.bed.bed2.counts	Miscanthus	KBS	2012	MI	2012-MI	TG	1296	"Tiedje, James"	1023787	KBS Miscanthus M2	Metagenome Annotated Standard Draft	Complete	1023788	KBS Miscanthus M2	Metagenome Standard Draft	Metagenome Standard Draft	Complete	DataAvailable	Visible	Visible	PRJNA366148	SAMN06268381	SRP099365	PowerSoil¨ DNA Isolation Kit (MOBIO) and DNA Clean & Concentrator (Zymo)	Rhizosphere Soil	Field cultivated with Miscanthus	45270	M2	M2	Quantity	Pass	"Illumina Regular Fragment, 270bp"	"Illumina Regular Fragment, 300bp, Tubes"	45149	Complete	RQC: Complete	Passed	OYCW	7304.6.67058.GTCCGC.srf	usable
X7304.7.67062.GTGAAA.fastq.gz.sam.bam.sorted.bed.bed2.counts	Miscanthus	KBS	2012	MI	2012-MI	TG	1296	"Tiedje, James"	1023790	KBS Miscanthus M3	Metagenome Annotated Standard Draft	Complete	1023791	KBS Miscanthus M3	Metagenome Standard Draft	Metagenome Standard Draft	Complete	DataAvailable	Visible	Visible	PRJNA366149	SAMN06268382	SRP121388	PowerSoil¨ DNA Isolation Kit (MOBIO) and DNA Clean & Concentrator (Zymo)	Rhizosphere Soil	Field cultivated with Miscanthus	45271	M3	M3	Quantity	Pass	"Illumina Regular Fragment, 270bp"	"Illumina Regular Fragment, 300bp, Tubes"	45150	Complete	RQC: Complete	Passed	OYCX	7304.7.67062.GTGAAA.srf	usable
X7332.7.69360.TTAGGC.fastq.gz.sam.bam.sorted.bed.bed2.counts	Switchgrass	KBS	2012	MI	2012-MI	TG	1296	"Tiedje, James"	1023814	KBS Switchgrass S7	Metagenome Annotated Standard Draft	Complete	1023815	KBS Switchgrass S7	Metagenome Standard Draft	Metagenome Standard Draft	Complete	DataAvailable	Visible	Visible	PRJNA330356	SAMN05422268	SRP080471	PowerSoil¨ DNA Isolation Kit (MOBIO) and DNA Clean & Concentrator (Zymo)	Rhizosphere Soil	Field cultivated with Switchgrass	45279	S7	S7	Quantity	Pass	"Illumina Regular Fragment, 270bp"	"Illumina Regular Fragment, 300bp, Tubes"	45158	Complete	RQC: RQC Complete	Passed	PHWC	7332.7.69360.TTAGGC.fastq.gz	
X7333.1.69391.CGTACG.fastq.gz.sam.bam.sorted.bed.bed2.counts	Miscanthus	KBS	2012	MI	2012-MI	TG	1296	"Tiedje, James"	1023793	KBS Miscanthus M4	Metagenome Annotated Standard Draft	Complete	1023794	KBS Miscanthus M4	Metagenome Standard Draft	Metagenome Standard Draft	Complete	DataAvailable	Visible	Visible	PRJNA366151	SAMN06268384	SRP099368	PowerSoil¨ DNA Isolation Kit (MOBIO) and DNA Clean & Concentrator (Zymo)	Rhizosphere Soil	Field cultivated with Miscanthus	45272	M4	M4	Quantity	Pass	"Illumina Regular Fragment, 270bp"	"Illumina Regular Fragment, 300bp, Tubes"	45151	Complete	RQC: RQC Complete	Passed	PHUX	7333.1.69391.CGTACG.fastq.gz	
X7333.2.69394.GAGTGG.fastq.gz.sam.bam.sorted.bed.bed2.counts	Miscanthus	KBS	2012	MI	2012-MI	TG	1296	"Tiedje, James"	1023796	KBS Miscanthus M5	Metagenome Annotated Standard Draft	Complete	1023797	KBS Miscanthus M5	Metagenome Standard Draft	Metagenome Standard Draft	Complete	DataAvailable	Visible	Visible	PRJNA366152	SAMN06268385	SRP099370	PowerSoil¨ DNA Isolation Kit (MOBIO) and DNA Clean & Concentrator (Zymo)	Rhizosphere Soil	Field cultivated with Miscanthus	45273	M5	M5	Quantity	Pass	"Illumina Regular Fragment, 270bp"	"Illumina Regular Fragment, 300bp, Tubes"	45152	Complete	RQC: RQC Complete	Passed	PHUY	7333.2.69394.GAGTGG.fastq.gz	
X7333.3.69392.GGTAGC.fastq.gz.sam.bam.sorted.bed.bed2.counts	Miscanthus	KBS	2012	MI	2012-MI	TG	1296	"Tiedje, James"	1023799	KBS Miscanthus M6	Metagenome Annotated Standard Draft	Complete	1023800	KBS Miscanthus M6	Metagenome Standard Draft	Metagenome Standard Draft	Complete	DataAvailable	Visible	Visible	PRJNA366153	SAMN06268386	SRP099369	PowerSoil¨ DNA Isolation Kit (MOBIO) and DNA Clean & Concentrator (Zymo)	Rhizosphere Soil	Field cultivated with Miscanthus	45274	M6	M6	Quantity	Pass	"Illumina Regular Fragment, 270bp"	"Illumina Regular Fragment, 300bp, Tubes"	45153	Complete	RQC: RQC Complete	Passed	PHUZ	7333.3.69392.GGTAGC.fastq.gz	
X7333.4.69390.ATCACG.fastq.gz.sam.bam.sorted.bed.bed2.counts	Switchgrass	KBS	2012	MI	2012-MI	TG	1296	"Tiedje, James"	1023802	KBS Switchgrass S1	Metagenome Annotated Standard Draft	Complete	1023803	KBS Switchgrass S1	Metagenome Standard Draft	Metagenome Standard Draft	Complete	DataAvailable	Visible	Visible	PRJNA330352	SAMN05421976	SRP080466	PowerSoil¨ DNA Isolation Kit (MOBIO) and DNA Clean & Concentrator (Zymo)	Rhizosphere Soil	Field cultivated with Switchgrass	45275	S1	S1	Quantity	Pass	"Illumina Regular Fragment, 270bp"	"Illumina Regular Fragment, 300bp, Tubes"	45154	Complete	RQC: RQC Complete	Passed	PHWA	7333.4.69390.ATCACG.fastq.gz	
X7333.5.69395.CGATGT.fastq.gz.sam.bam.sorted.bed.bed2.counts	Switchgrass	KBS	2012	MI	2012-MI	TG	1296	"Tiedje, James"	1023805	KBS Switchgrass S3	Metagenome Annotated Standard Draft	Complete	1023806	KBS Switchgrass S3	Metagenome Standard Draft	Metagenome Standard Draft	Complete	DataAvailable	Visible	Visible	PRJNA330353	SAMN05421975	SRP080467	PowerSoil¨ DNA Isolation Kit (MOBIO) and DNA Clean & Concentrator (Zymo)	Rhizosphere Soil	Field cultivated with Switchgrass	45276	S3	S3	Quantity	Pass	"Illumina Regular Fragment, 270bp"	"Illumina Regular Fragment, 300bp, Tubes"	45155	Complete	RQC: RQC Complete	Passed	PHWB	7333.5.69395.CGATGT.fastq.gz	
X7333.6.69389.ACAGTG.fastq.gz.sam.bam.sorted.bed.bed2.counts	Switchgrass	KBS	2012	MI	2012-MI	TG	1296	"Tiedje, James"	1023808	KBS Switchgrass S4	Metagenome Annotated Standard Draft	Complete	1023809	KBS Switchgrass S4	Metagenome Standard Draft	Metagenome Standard Draft	Complete	DataAvailable	Visible	Visible	PRJNA330354	SAMN05421496	SRP080468	PowerSoil¨ DNA Isolation Kit (MOBIO) and DNA Clean & Concentrator (Zymo)	Rhizosphere Soil	Field cultivated with Switchgrass	45277	S4	S4	Quantity	Pass	"Illumina Regular Fragment, 270bp"	"Illumina Regular Fragment, 300bp, Tubes"	45156	Complete	RQC: RQC Complete	Passed	OOTU	7333.6.69389.ACAGTG.fastq.gz	
X7333.7.69393.GCCAAT.fastq.gz.sam.bam.sorted.bed.bed2.counts	Switchgrass	KBS	2012	MI	2012-MI	TG	1296	"Tiedje, James"	1023811	KBS Switchgrass S6	Metagenome Annotated Standard Draft	Complete	1023812	KBS Switchgrass S6	Metagenome Standard Draft	Metagenome Standard Draft	Complete	DataAvailable	Visible	Visible	PRJNA330355	SAMN05421974	SRP080469	PowerSoil¨ DNA Isolation Kit (MOBIO) and DNA Clean & Concentrator (Zymo)	Rhizosphere Soil	Field cultivated with Switchgrass	45278	S6	S6	Quantity	Pass	"Illumina Regular Fragment, 270bp"	"Illumina Regular Fragment, 300bp, Tubes"	45157	Complete	RQC: RQC Complete	Passed	OOTW	7333.7.69393.GCCAAT.fastq.gz	
X7390.4.71288.GATCAG.fastq.gz.sam.bam.sorted.bed.bed2.counts	Switchgrass	KBS	2012	MI	2012-MI	TG	1296	"Tiedje, James"	1018631	KBS Switchgrass (Bulk soil) S5-S with PhiX	Metagenome Annotated Standard Draft	Complete	1018632	KBS Switchgrass (Bulk soil) S5-S with PhiX	Metagenome Standard Draft	Metagenome Standard Draft	Complete	DataAvailable	Visible	Visible	PRJNA330361	SAMN05421623	SRP080392	PowerSoil¨ DNA Isolation Kit (MOBIO) and DNA Clean & Concentrator (Zymo)	Bulk Soil	Field cultivated with Switchgrass	33991	S5-5	S5-5			"Illumina Regular Fragment, 270bp"	"Illumina Regular Fragment, 300bp, Tubes"	33257	Complete	RQC: RQC Complete	Passed	NXHY	7390.4.71288.GATCAG.fastq.gz	
X7390.7.71291.CTTGTA.fastq.gz.sam.bam.sorted.bed.bed2.counts	Miscanthus	KBS	2012	MI	2012-MI	TG	1296	"Tiedje, James"	1018622	KBS Miscanthus M7 with PhiX	Metagenome Annotated Standard Draft	Complete	1018623	KBS Miscanthus M7 with PhiX	Metagenome Standard Draft	Metagenome Standard Draft	Complete	DataAvailable	Visible	Visible	PRJNA366179	SAMN06268412	SRP099291	PowerSoil¨ DNA Isolation Kit (MOBIO) and DNA Clean & Concentrator (Zymo)	Rhizosphere Soil	Field cultivated with Miscanthus	33988	M7	M7			"Illumina Regular Fragment, 270bp"	"Illumina Regular Fragment, 300bp, Tubes"	33254	Complete	RQC: RQC Complete	Passed	PTNB	7390.7.71291.CTTGTA.fastq.gz	
X7394.1.71229.CTTGTA.fastq.gz.sam.bam.sorted.bed.bed2.counts	Miscanthus	KBS	2012	MI	2012-MI	TG	1296	"Tiedje, James"	1018622	KBS Miscanthus M7 with PhiX	Metagenome Annotated Standard Draft	Complete	1018623	KBS Miscanthus M7 with PhiX	Metagenome Standard Draft	Metagenome Standard Draft	Complete	DataAvailable	Visible	Visible	PRJNA366179	SAMN06268412	SRP099291	PowerSoil¨ DNA Isolation Kit (MOBIO) and DNA Clean & Concentrator (Zymo)	Rhizosphere Soil	Field cultivated with Miscanthus	33988	M7	M7			"Illumina Regular Fragment, 270bp"	"Illumina Regular Fragment, 300bp, Tubes"	33254	Complete	RQC: RQC Complete	Passed	PTNB	7394.1.71229.CTTGTA.fastq.gz	
X7423.6.73036.TAGCTT.fastq.gz.sam.bam.sorted.bed.bed2.counts	Switchgrass	KBS	2012	MI	2012-MI	TG	1296	"Tiedje, James"	1018625	KBS Switchgrass S2 with PhiX	Metagenome Annotated Standard Draft	Complete	1018626	KBS Switchgrass S2 with PhiX	Metagenome Standard Draft	Metagenome Standard Draft	Complete	DataAvailable	Visible	Visible	PRJNA330359	SAMN05421518	SRP080391	PowerSoil¨ DNA Isolation Kit (MOBIO) and DNA Clean & Concentrator (Zymo)	Rhizosphere Soil	Field cultivated with Switchgrass	33989	S2	S2			"Illumina Regular Fragment, 270bp"	"Illumina Regular Fragment, 300bp, Tubes"	33255	Complete	RQC: RQC Complete	Passed	NXHZ	7423.6.73036.TAGCTT.fastq.gz	
X8146.2.92036.TACAGC.fastq.gz.sam.bam.sorted.bed.bed2.counts	Miscanthus	AARS	2011	WI	2011-WI	Randy	1322	"Duncan, David"	1040381	Nitrogen cycling UWRJ-G05A3w-11	Metagenome Annotated Minimal Draft	Complete	1040382	Nitrogen cycling UWRJ-G05A3w-11	Metagenome Minimal Draft	Metagenome Minimal Draft	Complete	DataAvailable	Visible	Visible	PRJNA365830	SAMN06267827	SRP100284	"Bead beating, phenol and 1% SDS at 60 C, isopropyl alcohol precipitation, MoBio PowerDNA cleanup"	Bulk soil	"Switchgrass established 2008, fall harvested, receiving 56 kg N/ha starting in 2010"	61793	"AARS, Switchgrass, Block 3 microplot, 2011"	jac.soilmg.main3o3	Quantity	Pass	"Illumina Regular Fragment, 270bp"	"Illumina Regular Fragment, 300bp, Plates"	77089	Complete	RQC: RQC Complete	Passed	XHPT	8146.2.92036.TACAGC.fastq.gz	usable
X8472.4.103195.ACAGTG.fastq.gz.sam.bam.sorted.bed.bed2.counts	Switchgrass	KBS	2012	MI	2012-MI	MetaT	1704	"Tiedje, James"	1049127	Switchgrass rhizosphere roots SR-1	Metagenome Annotated Metatranscriptome	Complete	1049128	Switchgrass rhizosphere roots SR-1	Metagenome Metatranscriptome	Metagenome Metatranscriptome	Complete	DataAvailable	Visible	Visible	PRJNA365808	SAMN06267556	SRP103015	PowerSoil RNA kit	Bulk soil in Miscanthus plot	Soil was collected from near roots	69600	SW-1	SW-1	Quantity+Quality	Pass	Illumina RNASeq w/rRNA Depletion	Illumina RNASeq w/rRNA Depletion	89006	Complete	Segment QC: Completed	Passed	YGNN	8472.4.103195.ACAGTG.fastq.gz	usable
X8472.5.103197.GCCAAT.fastq.gz.sam.bam.sorted.bed.bed2.counts	Switchgrass	KBS	2012	MI	2012-MI	MetaT	1704	"Tiedje, James"	1049131	Switchgrass rhizosphere roots SR-2	Metagenome Annotated Metatranscriptome	Complete	1049132	Switchgrass rhizosphere roots SR-2	Metagenome Metatranscriptome	Metagenome Metatranscriptome	Complete	DataAvailable	Visible	Visible	PRJNA365809	SAMN06267557	SRP103020	PowerSoil RNA kit	Bulk soil in Miscanthus plot	Soil was collected from near roots	69601	SW-2	SW-2	Quantity+Quality	Pass	Illumina RNASeq w/rRNA Depletion	Illumina RNASeq w/rRNA Depletion	89007	Complete	Segment QC: Completed	Passed	YGNO	8472.5.103197.GCCAAT.fastq.gz	usable
X8472.6.103199.CAGATC.fastq.gz.sam.bam.sorted.bed.bed2.counts	Corn	KBS	2012	MI	2012-MI	MetaT	1704	"Tiedje, James"	1049139	Corn bulk soil CB-1	Metagenome Annotated Metatranscriptome	Complete	1049140	Corn bulk soil CB-1	Metagenome Metatranscriptome	Metagenome Metatranscriptome	Complete	DataAvailable	Visible	Visible	PRJNA365855	SAMN06267559	SRP103037	PowerSoil RNA kit	Bulk soil in Miscanthus plot	Soil was collected from near roots	69603	CC-1	CC-1	Quantity+Quality	Pass	Illumina RNASeq w/rRNA Depletion	Illumina RNASeq w/rRNA Depletion	89009	Complete	Segment QC: Completed	Passed	YGNP	8472.6.103199.CAGATC.fastq.gz	usable
X8472.7.103201.ACTTGA.fastq.gz.sam.bam.sorted.bed.bed2.counts	Corn	KBS	2012	MI	2012-MI	MetaT	1704	"Tiedje, James"	1049147	Corn bulk soil CB-3	Metagenome Annotated Metatranscriptome	Complete	1049148	Corn bulk soil CB-3	Metagenome Metatranscriptome	Metagenome Metatranscriptome	Complete	DataAvailable	Visible	Visible	PRJNA365857	SAMN06267561	SRP103038	PowerSoil RNA kit	Bulk soil in Miscanthus plot	Soil was collected from near roots	69605	CC-3	CC-3	Quantity+Quality	Pass	Illumina RNASeq w/rRNA Depletion	Illumina RNASeq w/rRNA Depletion	89011	Complete	Segment QC: Completed	Passed	YGNS	8472.7.103201.ACTTGA.fastq.gz	usable
X8893.8.114919.ACTGAT.fastq.gz.sam.bam.sorted.bed.bed2.counts	Switchgrass	KBS	2012	MI	2012-MI	MetaT	1704	"Tiedje, James"	1049135	Switchgrass rhizosphere roots SR-3	Metagenome Annotated Metatranscriptome	Complete	1049136	Switchgrass rhizosphere roots SR-3	Metagenome Metatranscriptome	Metagenome Metatranscriptome	Complete	DataAvailable	Visible	Visible	PRJNA365854	SAMN06267558	SRP103017	PowerSoil RNA kit	Bulk soil in Miscanthus plot	Soil was collected from near roots	72003	SW-3.2	SW-3.2	Quantity+Quality	Pass	Illumina RNASeq w/rRNA Depletion	Illumina RNASeq w/rRNA Depletion	93483	Complete	Segment QC: Completed	Passed	ABGCY	8893.8.114919.ACTGAT.fastq.gz	usable
X8903.8.115210.GAGTGG.fastq.gz.sam.bam.sorted.bed.bed2.counts	Corn	KBS	2012	MI	2012-MI	MetaT	1704	"Tiedje, James"	1049143	Corn bulk soil CB-2	Metagenome Annotated Metatranscriptome	Complete	1049144	Corn bulk soil CB-2	Metagenome Metatranscriptome	Metagenome Metatranscriptome	Complete	DataAvailable	Visible	Visible	PRJNA365856	SAMN06267560	SRP103036	PowerSoil RNA kit	Bulk soil in Miscanthus plot	Soil was collected from near roots	77093	CC-2.2	CC-2.2	Quantity+Quality	Pass	Illumina RNASeq w/rRNA Depletion	Illumina RNASeq w/rRNA Depletion	99788	Complete	Segment QC: Completed	Passed	ABGCX	8903.8.115210.GAGTGG.fastq.gz	usable
X9040.8.119138.TAGCTT.fastq.gz.sam.bam.sorted.bed.bed2.counts	Switchgrass	KBS	2014	MI	2014-MI	TG	1296	"Tiedje, James"	1062740	KBS Switchgrass S1-2	Metagenome Annotated Standard Draft	Complete	1062775	KBS Switchgrass S1-2	Metagenome Standard Draft	Metagenome Standard Draft	Complete	DataAvailable	Visible	Visible	PRJNA375569	SAMN06344175	SRP106483	PowerSoil¨ DNA Isolation Kit (MOBIO) and DNA Clean & Concentrator (Zymo)	Rhizosphere soil	Field cultivated with switchgrass	82377	S1-2	Tiedje.KBS.metaG	Quantity	Pass	"Illumina Regular Fragment, 270bp"	"Illumina Regular Fragment, 300bp, Tubes"	106717	Complete	Segment QC: Completed	Passed	AAHAC	9040.8.119138.TAGCTT.fastq.gz	usable
X9041.3.119144.CTTGTA.fastq.gz.sam.bam.sorted.bed.bed2.counts	Switchgrass	KBS	2014	MI	2014-MI	TG	1296	"Tiedje, James"	1062744	KBS Switchgrass S3-2	Metagenome Annotated Standard Draft	Complete	1062777	KBS Switchgrass S3-2	Metagenome Standard Draft	Metagenome Standard Draft	Complete	DataAvailable	Visible	Visible	PRJNA375570	SAMN06344176	SRP106493	PowerSoil¨ DNA Isolation Kit (MOBIO) and DNA Clean & Concentrator (Zymo)	Rhizosphere soil	Field cultivated with switchgrass	82379	S3-2	Tiedje.KBS.metaG	Quantity	Pass	"Illumina Regular Fragment, 270bp"	"Illumina Regular Fragment, 300bp, Tubes"	106719	Complete	Segment QC: Completed	Passed	AAHAH	9041.3.119144.CTTGTA.fastq.gz	usable
